id,intent_id,sample_questions,bot answer
0,DOT_FMCSA_CDL,"['DOT FMCSA CDL', 'I am having trouble logging into the Commercial Drivers License Drug and Alcohol Clearinghouse Portal']","If you are having issues signing into the Department of Transportation's (DOT) Federal Motor Carrier Safety Administration (FMCSA) Commercial Driver’s License Drug and Alcohol Clearinghouse Portal, please make sure you are accessing the correct portal link found here: https://clearinghouse.fmcsa.dot.gov/Register"
0,DOT_FMCSA_CDL,"['DOT FMCSA CDL', 'I am having trouble logging into the Commercial Drivers License Drug and Alcohol Clearinghouse Portal']","You can contact FMCSA’s Help desk by going to clearinghouse.fmcsa.dot.gov and click on ""Contact"" or call 1-800-832-5660"
1,TTP_Trusted_Travelers_Program,"['TTP', 'I cant log into trusted travelers program']",Your login.gov account and Trusted Traverler's Program (TTP) account information is separate.
1,TTP_Trusted_Travelers_Program,"['TTP', 'I cant log into trusted travelers program']","If you need help with your TTP account, please visit the TTP FAQs https://ttp.dhs.gov/faq"
2,USAjobs,"['I cant sign into USASTAFFING even though I have login.gov account.', 'I dont remember the email I used for USAjobs']",You may be able to find answers to your questions at USAjobs FAQ https://www.usajobs.gov/Help/faq/
2,USAjobs,"['I cant sign into USASTAFFING even though I have login.gov account.', 'I dont remember the email I used for USAjobs']","If you have any questions about linking your account, please contact the USAJOBS helpdesk."
3,can_help_scheduling_appointment,"['Can you help with scheduling an appointment', 'Can you help me to schedule a tsa pre appointment']",The best way to schedule an appointment is through the Trusted Traveler Programs sitehttps://ttp.cbp.dhs.gov/
3,can_help_scheduling_appointment,"['Can you help with scheduling an appointment', 'Can you help me to schedule a tsa pre appointment']",login.gov is for account access and sign-in only and does not affect or have any information about your Trusted Traveler Programs application.
4,can_i_remove_saved_password,"['Can I remove a saved password or login information from my browser', 'How do I removed saved email']","Yes, you can remove the email saved in your browser. Check the link below"
4,can_i_remove_saved_password,"['Can I remove a saved password or login information from my browser', 'How do I removed saved email']",https://www.login.gov/help/privacy-and-security/can-i-remove-a-saved-password-or-login-information-from-my-browser/
5,do_i_need_pay_again,"['Do I need to pay again', 'How much is the fee']",You do not need to pay to use login.gov.
5,do_i_need_pay_again,"['Do I need to pay again', 'How much is the fee']",login.gov is for account access and sign-in only and does not affect or have any information about your Trusted Traveler Programs application
6,do_i_need_set_security,"['Do I need to set up a security key to use login.gov', 'Do I have to have a security key for login.gov']","You do not need to use a security key to use login.gov. However, all login.gov accounts must be set up with a two-factor method."
6,do_i_need_set_security,"['Do I need to set up a security key to use login.gov', 'Do I have to have a security key for login.gov']","You can set up two-factor authentication by phone call, text message, authentication app, or a security key. A security key is the most secure two-factor method."
7,does_using_security_key_mean,"['Does using a security key mean Im completely safe from phishing', 'Does security make me safe']","If you have a security key enabled, login.gov will ask you to use it every time you log in. If you are not asked to use a security key during the login process, this could be a warning that you are not at the real login.gov website."
7,does_using_security_key_mean,"['Does using a security key mean Im completely safe from phishing', 'Does security make me safe']","To stay safe when using login.gov, expect to use your security key consistently to log in."
8,escape,"['representative', 'Good bye']",Please contact hello@login.gov if you have other questions
8,escape,"['representative', 'Good bye']",Thanks!
9,hi,"['hi', 'why is the sky blue']",Hi! Consider me a guide to your questions for login.gov. Do you have questions on signing in or changing your settings?
9,hi,"['hi', 'why is the sky blue']",How can I help?
10,how_delete_account,"['how do i delete my account', 'delete']","If you are able to sign into your account, please Scroll to the bottom of your profile page and click “delete.” Confirm your password and enter your security code. Click continue. You will then see a message that says your account has been deleted."
10,how_delete_account,"['how do i delete my account', 'delete']","If you are unable to sign into your account, please contact hello@login.gov for instructions on how to delete your account."
11,how_i_change_email_address,"['How do I change my email address', 'how do i update my email']",Select MANAGE ACCOUNT on the top right corner to sign into your account
11,how_i_change_email_address,"['How do I change my email address', 'how do i update my email']",Select EDIT next to your current email address.
11,how_i_change_email_address,"['How do I change my email address', 'how do i update my email']",Enter the new email address and submit it.
12,how_i_change_password,"['How do I change my password', 'Change my password']",Select MANAGE ACCOUNT on the top right corner.
12,how_i_change_password,"['How do I change my password', 'Change my password']","Select EDIT next to password, enter the new password and submit your change."
13,how_i_change_phone_number,"['How do I change the phone number I use to sign in', 'I have a new phone. I want to update my phone number']",Select MANAGE ACCOUNT on the top right corner to sign into your account.
13,how_i_change_phone_number,"['How do I change the phone number I use to sign in', 'I have a new phone. I want to update my phone number']",Select EDIT next to your current phone number.
13,how_i_change_phone_number,"['How do I change the phone number I use to sign in', 'I have a new phone. I want to update my phone number']",Enter your new phone number and select CONFIRM CHANGE. You will receive a new security code on your new phone number.
14,how_i_change_sam_account,"['How do I change my SAM account settings', 'How can I update SAM settings']",Select MANAGE ACCOUNT on the top right corner to sign in your login.gov account.
14,how_i_change_sam_account,"['How do I change my SAM account settings', 'How can I update SAM settings']",Select My Account Settings from the sub-navigation menu on your My SAM page.
14,how_i_change_sam_account,"['How do I change my SAM account settings', 'How can I update SAM settings']",Select Edit User Information.
15,how_i_create_account_logingov,"['How do I create an account with login.gov', 'sign up']",To create a login.gov account youll need a valid email address and a working phone number.
